gpu, 3, 20, 2794
fixed_point, 3, 18, 119
normal, 3, 28, 82
gpu, 4, 129, 10818
fixed_point, 4, 129, 723
normal, 4, 145, 434
gpu, 5, 3077, 180913
fixed_point, 5, 3077, 18132
normal, 5, 3077, 10747
gpu, 3, 20, 2777
fixed_point, 3, 18, 120
normal, 3, 28, 90
gpu, 4, 129, 10846
fixed_point, 4, 129, 881
normal, 4, 145, 439
gpu, 5, 3077, 181612
fixed_point, 5, 3077, 18177
normal, 5, 3077, 10547
gpu, 3, 20, 2754
fixed_point, 3, 18, 119
normal, 3, 28, 84
gpu, 4, 129, 10785
fixed_point, 4, 129, 714
normal, 4, 145, 446
gpu, 5, 3077, 175113
fixed_point, 5, 3077, 18062
normal, 5, 3077, 10609
gpu, 3, 20, 2772
fixed_point, 3, 18, 120
normal, 3, 28, 82
gpu, 4, 129, 10846
fixed_point, 4, 129, 719
normal, 4, 145, 448
gpu, 5, 3077, 175620
fixed_point, 5, 3077, 18149
normal, 5, 3077, 10701
gpu, 3, 20, 2721
fixed_point, 3, 18, 120
normal, 3, 28, 83
gpu, 4, 129, 10805
fixed_point, 4, 129, 720
normal, 4, 145, 428
gpu, 5, 3077, 177457
fixed_point, 5, 3077, 18384
normal, 5, 3077, 10674
gpu, 3, 20, 2740
fixed_point, 3, 18, 120
normal, 3, 28, 82
gpu, 4, 129, 11304
fixed_point, 4, 129, 717
normal, 4, 145, 438
gpu, 5, 3077, 176374
fixed_point, 5, 3077, 18123
normal, 5, 3077, 10778
gpu, 3, 20, 2731
fixed_point, 3, 18, 120
normal, 3, 28, 82
gpu, 4, 129, 10676
fixed_point, 4, 129, 716
normal, 4, 145, 439
gpu, 5, 3077, 182171
fixed_point, 5, 3077, 17776
normal, 5, 3077, 10616
gpu, 3, 20, 2754
fixed_point, 3, 18, 120
normal, 3, 28, 83
gpu, 4, 129, 10718
fixed_point, 4, 129, 716
normal, 4, 145, 444
gpu, 5, 3077, 176171
fixed_point, 5, 3077, 18222
normal, 5, 3077, 10512
gpu, 3, 20, 2634
fixed_point, 3, 18, 116
normal, 3, 28, 82
gpu, 4, 129, 10960
fixed_point, 4, 129, 727
normal, 4, 145, 437
gpu, 5, 3077, 174696
fixed_point, 5, 3077, 17871
normal, 5, 3077, 10755
gpu, 3, 20, 2785
fixed_point, 3, 18, 121
normal, 3, 28, 83
gpu, 4, 129, 10361
fixed_point, 4, 129, 715
normal, 4, 145, 440
gpu, 5, 3077, 175568
fixed_point, 5, 3077, 17877
normal, 5, 3077, 10661
gpu, 3, 20, 2753
fixed_point, 3, 18, 117
normal, 3, 28, 83
gpu, 4, 129, 10890
fixed_point, 4, 129, 687
normal, 4, 145, 448
gpu, 5, 3077, 177563
fixed_point, 5, 3077, 18152
normal, 5, 3077, 10646
gpu, 3, 20, 2751
fixed_point, 3, 18, 117
normal, 3, 28, 83
gpu, 4, 129, 10831
fixed_point, 4, 129, 713
normal, 4, 145, 448
gpu, 5, 3077, 174534
fixed_point, 5, 3077, 18193
normal, 5, 3077, 10741
gpu, 3, 20, 2757
fixed_point, 3, 18, 120
normal, 3, 28, 84
gpu, 4, 129, 10779
fixed_point, 4, 129, 721
normal, 4, 145, 427
gpu, 5, 3077, 185142
fixed_point, 5, 3077, 17752
normal, 5, 3077, 10626
gpu, 3, 20, 2741
fixed_point, 3, 18, 116
normal, 3, 28, 81
gpu, 4, 129, 10810
fixed_point, 4, 129, 698
normal, 4, 145, 437
gpu, 5, 3077, 174387
fixed_point, 5, 3077, 18044
normal, 5, 3077, 10801
