gpu, 3, 20, 2620
fixed_point, 3, 18, 120
normal, 3, 28, 83
gpu, 4, 129, 10692
fixed_point, 4, 129, 694
normal, 4, 145, 433
gpu, 5, 3077, 175137
fixed_point, 5, 3077, 17686
normal, 5, 3077, 10713
gpu, 3, 20, 2763
fixed_point, 3, 18, 120
normal, 3, 28, 83
gpu, 4, 129, 10790
fixed_point, 4, 129, 738
normal, 4, 145, 443
gpu, 5, 3077, 177364
fixed_point, 5, 3077, 17782
normal, 5, 3077, 10665
gpu, 3, 20, 2732
fixed_point, 3, 18, 120
normal, 3, 28, 82
gpu, 4, 129, 10411
fixed_point, 4, 129, 718
normal, 4, 145, 446
gpu, 5, 3077, 179464
fixed_point, 5, 3077, 18194
normal, 5, 3077, 10613
gpu, 3, 20, 2762
fixed_point, 3, 18, 120
normal, 3, 28, 81
gpu, 4, 129, 11341
fixed_point, 4, 129, 728
normal, 4, 145, 440
gpu, 5, 3077, 174917
fixed_point, 5, 3077, 18187
normal, 5, 3077, 10759
gpu, 3, 20, 2761
fixed_point, 3, 18, 117
normal, 3, 28, 82
gpu, 4, 129, 10944
fixed_point, 4, 129, 721
normal, 4, 145, 439
gpu, 5, 3077, 182672
fixed_point, 5, 3077, 18217
normal, 5, 3077, 10785
gpu, 3, 20, 2740
fixed_point, 3, 18, 124
normal, 3, 28, 81
gpu, 4, 129, 10749
fixed_point, 4, 129, 708
normal, 4, 145, 435
gpu, 5, 3077, 174048
fixed_point, 5, 3077, 18225
normal, 5, 3077, 10720
gpu, 3, 20, 2859
fixed_point, 3, 18, 129
normal, 3, 28, 83
gpu, 4, 129, 10396
fixed_point, 4, 129, 710
normal, 4, 145, 445
gpu, 5, 3077, 174690
fixed_point, 5, 3077, 17708
normal, 5, 3077, 10640
gpu, 3, 20, 2894
fixed_point, 3, 18, 120
normal, 3, 28, 81
gpu, 4, 129, 10996
fixed_point, 4, 129, 727
normal, 4, 145, 437
gpu, 5, 3077, 176126
fixed_point, 5, 3077, 17661
normal, 5, 3077, 10490
gpu, 3, 20, 2651
fixed_point, 3, 18, 135
normal, 3, 28, 78
gpu, 4, 129, 10591
fixed_point, 4, 129, 720
normal, 4, 145, 435
gpu, 5, 3077, 176988
fixed_point, 5, 3077, 17835
normal, 5, 3077, 10541
gpu, 3, 20, 2739
fixed_point, 3, 18, 117
normal, 3, 28, 82
gpu, 4, 129, 10697
fixed_point, 4, 129, 695
normal, 4, 145, 436
gpu, 5, 3077, 169171
fixed_point, 5, 3077, 18048
normal, 5, 3077, 10716
gpu, 3, 20, 2634
fixed_point, 3, 18, 120
normal, 3, 28, 83
gpu, 4, 129, 10850
fixed_point, 4, 129, 718
normal, 4, 145, 446
gpu, 5, 3077, 182785
fixed_point, 5, 3077, 18138
normal, 5, 3077, 10769
gpu, 3, 20, 2731
fixed_point, 3, 18, 120
normal, 3, 28, 88
gpu, 4, 129, 10824
fixed_point, 4, 129, 711
normal, 4, 145, 437
gpu, 5, 3077, 174522
fixed_point, 5, 3077, 18042
normal, 5, 3077, 10830
gpu, 3, 20, 2788
fixed_point, 3, 18, 120
normal, 3, 28, 82
gpu, 4, 129, 10790
fixed_point, 4, 129, 715
normal, 4, 145, 431
gpu, 5, 3077, 177800
fixed_point, 5, 3077, 17607
normal, 5, 3077, 10673
gpu, 3, 20, 2752
fixed_point, 3, 18, 121
normal, 3, 28, 81
gpu, 4, 129, 10313
fixed_point, 4, 129, 718
normal, 4, 145, 435
gpu, 5, 3077, 174866
fixed_point, 5, 3077, 17911
normal, 5, 3077, 10529
gpu, 3, 20, 2751
fixed_point, 3, 18, 123
normal, 3, 28, 82
gpu, 4, 129, 11184
fixed_point, 4, 129, 711
normal, 4, 145, 436
gpu, 5, 3077, 176999
fixed_point, 5, 3077, 17883
normal, 5, 3077, 10825
gpu, 3, 20, 2663
fixed_point, 3, 18, 116
normal, 3, 28, 81
gpu, 4, 129, 10451
fixed_point, 4, 129, 711
normal, 4, 145, 425
gpu, 5, 3077, 179319
fixed_point, 5, 3077, 18195
normal, 5, 3077, 10729
